listing_id,review_count,avg_rating,mean_pred_rating,std_pred_rating,mean_review_score,avg_rating_norm,mean_pred_norm,stability,confidence,listing_score,final_score
5902247,163,5.0,4.999998636772296,5.457876340231516e-06,0.9999996591930741,1.0,0.999999659193074,0.9999972710618299,1.0,0.9999994032154652,0.9999994032154652
26939959,137,5.0,4.99999948835721,2.1156641576996376e-06,0.9999998720893024,1.0,0.9999998720893024,0.9999989421679212,1.0,0.9999997709743045,0.9999997709743045
49804976,78,5.0,4.999999614862295,2.1074889451044766e-06,0.9999999037155738,1.0,0.9999999037155738,0.9999989462555274,1.0,0.9999997889818946,0.9999997889818946
1346323242120150199,73,5.0,4.999999274946239,3.5041219486414276e-06,0.9999998187365597,1.0,0.9999998187365597,0.9999982479390257,1.0,0.9999996374959619,0.9999996374959619
21782123,59,5.0,4.9999992079653985,4.166963890611493e-06,0.9999998019913495,1.0,0.9999998019913496,0.9999979165180547,1.0,0.9999995785729506,0.9999995785729506
40203245,58,5.0,4.9999998355733934,7.660270218049307e-07,0.9999999588933485,1.0,0.9999999588933484,0.9999996169864891,1.0,0.9999999199393149,0.9999999199393149
1432642395692877032,56,5.0,4.999998399189541,4.697118698825282e-06,0.9999995997973851,1.0,0.9999995997973852,0.9999976514406506,1.0,0.9999994276046595,0.9999994276046595
22490521,41,5.0,4.999998639269573,7.581981449872134e-06,0.9999996598173932,1.0,0.9999996598173932,0.9999962090092751,0.9554314003514671,0.9999992442509575,0.9866286744612006
9831098,35,5.0,4.999999359675816,2.773051733734672e-06,0.999999839918954,1.0,0.999999839918954,0.9999986134741331,0.9160270615698787,0.9999997039765447,0.9748078299048961
844110858020252092,35,5.0,4.999999237060547,2.80960477915345e-06,0.9999998092651368,1.0,0.9999998092651368,0.9999985951976105,0.9160270615698787,0.9999996843754667,0.9748078107976061
