listing_id,review_count,avg_rating,mean_pred_rating,std_pred_rating,mean_review_score,avg_rating_norm,mean_pred_norm,stability,confidence,listing_score,final_score
40203245,58,5.0,4.9999998355733934,7.660270218049307e-07,0.9999999588933485,1.0,0.9999999588933484,0.9999996169864891,1.0,0.9999999199393149,0.9999999199393149
49804976,78,5.0,4.999999614862295,2.1074889451044766e-06,0.9999999037155738,1.0,0.9999999037155738,0.9999989462555274,1.0,0.9999997889818946,0.9999997889818946
26939959,137,5.0,4.99999948835721,2.1156641576996376e-06,0.9999998720893024,1.0,0.9999998720893024,0.9999989421679212,1.0,0.9999997709743045,0.9999997709743045
1346323242120150199,73,5.0,4.999999274946239,3.5041219486414276e-06,0.9999998187365597,1.0,0.9999998187365597,0.9999982479390257,1.0,0.9999996374959619,0.9999996374959619
21782123,59,5.0,4.9999992079653985,4.166963890611493e-06,0.9999998019913495,1.0,0.9999998019913496,0.9999979165180547,1.0,0.9999995785729506,0.9999995785729506
1432642395692877032,56,5.0,4.999998399189541,4.697118698825282e-06,0.9999995997973851,1.0,0.9999995997973852,0.9999976514406506,1.0,0.9999994276046595,0.9999994276046595
5902247,163,5.0,4.999998636772296,5.457876340231516e-06,0.9999996591930741,1.0,0.999999659193074,0.9999972710618299,1.0,0.9999994032154652,0.9999994032154652
1341210404003269875,167,4.994011976047904,4.9999989492450645,5.468065923655209e-06,0.9999997373112661,0.9985029940119761,0.9999997373112661,0.9999972659670382,1.0,0.999550343619845,0.999550343619845
614976093907823420,142,4.992957746478873,4.9999995533849155,1.8794257910018855e-06,0.9999998883462288,0.9982394366197183,0.9999998883462289,0.9999990602871045,1.0,0.9994716286194071,0.9994716286194071
628141259438347130,122,4.991803278688525,4.9999990346001795,4.864914588839738e-06,0.999999758650045,0.9979508196721312,0.9999997586500449,0.9999975675427056,1.0,0.99938474829057,0.99938474829057
976837363516880677,106,4.990566037735849,4.999998205112961,5.992865601505445e-06,0.9999995512782403,0.9976415094339623,0.9999995512782403,0.9999970035671992,1.0,0.9992917565683007,0.9992917565683007
49365999,88,4.988636363636363,4.999998634511774,5.168251493359696e-06,0.9999996586279436,0.9971590909090908,0.9999996586279436,0.9999974158742533,1.0,0.9991471518992343,0.9991471518992343
1125390895229754590,252,4.984126984126984,4.999998315932259,6.510622227207458e-06,0.9999995789830647,0.996031746031746,0.9999995789830647,0.9999967446888864,1.0,0.9988088039535424,0.9988088039535424
1088591738553322541,62,4.983870967741935,4.999998015742148,5.364443946596703e-06,0.999999503935537,0.9959677419354838,0.9999995039355369,0.9999973177780267,1.0,0.9987896474118946,0.9987896474118946
12923720,420,4.983333333333333,4.999998907815843,4.191845525662108e-06,0.9999997269539606,0.9958333333333333,0.9999997269539607,0.9999979040772372,1.0,0.998749535436264,0.998749535436264
1331213695641800373,55,4.9818181818181815,4.999998066642068,7.462789665825846e-06,0.9999995166605169,0.9954545454545454,0.9999995166605169,0.9999962686051671,1.0,0.9986355380904229,0.9986355380904229
834615426414775737,102,4.980392156862745,4.999999181897032,3.95002345584168e-06,0.9999997954742581,0.9950980392156863,0.9999997954742581,0.9999980249882721,1.0,0.9985290030237886,0.9985290030237886
635294055330761344,134,4.977611940298507,4.99999922069151,2.8696986553638486e-06,0.9999998051728776,0.9944029850746268,0.9999998051728776,0.9999985651506723,1.0,0.9983205731400715,0.9983205731400715
968925726393663365,86,4.976744186046512,4.999995863714884,9.856594137734422e-06,0.9999989659287208,0.9941860465116279,0.999998965928721,0.9999950717029311,1.0,0.9982545059697245,0.9982545059697245
34618882,235,4.974468085106383,4.999999107198512,4.554305363135666e-06,0.999999776799628,0.9936170212765958,0.999999776799628,0.9999977228473185,1.0,0.9980846420498719,0.9980846420498719
24982776,117,4.9743589743589745,4.999999502785186,1.4075725060340055e-06,0.9999998756962963,0.9935897435897436,0.9999998756962964,0.999999296213747,1.0,0.9980767491419483,0.9980767491419483
1397171622141262980,77,4.974025974025974,4.999997919256037,1.0907050767393433e-05,0.9999994798140093,0.9935064935064934,0.9999994798140093,0.9999945464746163,1.0,0.9980508439208456,0.9980508439208456
1097782804622685619,73,4.972602739726027,4.9999999477438735,1.874219394310449e-07,0.9999999869359683,0.9931506849315068,0.9999999869359684,0.9999999062890302,1.0,0.9979451842375892,0.9979451842375892
